idx_desempleo,idx_habitat,idx_educacion,idx_riesgo_clima,idx_pobreza,idx_tejido_social,año_normalizado,Comuna,Año
0.009537979,-0.008221432,-0.009153718,0.0,-0.007220314,0.006821127,0.00020448341,San Antonio de Prado,2009
-0.0008601316,-0.008130373,-0.015930807,0.0,-0.006602188,0.023148363,0.00018032518,San Cristobal,2009
-0.0072184736,0.013228578,0.023911346,0.0,0.040247813,0.002968632,0.0007788492,San Javier,2009
0.0065891314,0.029070212,0.018186828,0.0,0.07359586,0.03134744,0.0005910252,Santa Cruz,2009
0.008108358,-0.009208348,-0.035659228,0.0,-0.007887678,0.015304362,0.00056703127,Santa Elena,2009
-0.002612527,0.024642937,0.02391947,0.0,0.043505892,0.007158307,0.00065309554,Villa Hermosa,2009
0.009268751,-0.011592617,-0.026652595,0.0,-0.009492499,0.032994173,0.000104502215,Altavista,2010
0.0042505683,0.01043718,0.023775417,0.0,0.059251264,-0.0037577199,0.00073714746,Aranjuez,2010
-0.003176178,-0.0073931813,0.03180495,0.0,-0.006669049,-0.033164192,0.00025117293,Belen,2010
-0.009186941,-0.016653968,0.0042119045,0.0,-0.03173121,0.0039593233,0.00031956716,Belén,2010
-0.008980167,-0.008796349,0.0096773915,0.0,-0.0024379652,-0.008040312,0.0001305892,Buenos Aires,2010
-0.016262628,-0.018203974,0.012501841,0.0,0.01896586,-0.0034467387,0.000302076,Castilla,2010
-0.010893581,0.03559748,0.005735696,0.0,0.06793025,-0.004624845,0.0006497706,Corregimiento de Altavista,2010
-0.011399795,0.00903092,0.0021788315,0.0,-0.0075132353,-0.0021258295,0.00023043175,Corregimiento de San Antonio de Prado,2010
-0.011152078,-0.0049648914,0.0032398915,0.0,0.024323946,-0.005628388,0.00029919998,Corregimiento de San Cristóbal,2010
-0.012957198,0.01305957,0.0051438524,0.0,0.02011097,-0.009666134,0.00031954382,Corregimiento de San Sebastián de Palmitas,2010
-0.01550099,0.03579772,0.004145735,0.0,0.058129217,-0.005342099,0.0005573319,Corregimiento de Santa Elena,2010
-0.0057278243,0.011352032,0.038766198,0.0,0.028044231,0.0137341395,0.00024489063,Doce de Octubre,2010
-0.012830459,-0.020995677,-0.012636302,0.0,-0.0577625,-0.056524675,0.00033799637,El Poblado,2010
-0.023869302,-0.01619828,-0.010359217,0.0,-0.028928585,-0.018529614,0.00023608161,Guayabal,2010
-0.0028967573,-0.0088077,-0.024321435,0.0,-0.009920446,-0.035107054,0.00023813969,La America,2010
-0.028592277,-0.016968988,0.0024030947,0.0,-0.03365991,0.0026700883,0.00020064128,La América,2010
-0.0020631088,-0.016342523,-0.016126053,0.0,-0.027989691,-0.025019072,0.0004900669,La Candelaria,2010
-0.01124805,-0.020547288,-0.0143497605,0.0,-0.055759083,-0.051854994,0.00040944995,Laureles Estadio,2010
-0.0013804805,0.029510532,0.026623381,0.0,0.049623758,0.03637441,0.0003256314,Manrique,2010
-0.0018808736,-0.012264393,-0.037260078,0.0,-0.009934831,0.036997117,0.0010137372,Palmitas,2010
0.009830332,0.041120715,0.027216565,0.0,0.07596456,0.04638644,0.0011248974,Popular,2010
-0.008405931,-0.0027893984,0.031114448,0.0,0.011631591,0.0020690006,0.0002430645,Robledo,2010
0.009045109,-0.008687336,-0.0020828552,0.0,-0.006916244,0.003828087,0.000199939,San Antonio de Prado,2010
-0.0012012444,-0.008135577,-0.013452571,0.0,-0.0064497693,0.023418304,0.00018230885,San Cristobal,2010
-0.0072184736,0.013226434,0.021507042,0.0,0.038952205,0.0030738043,0.00077395764,San Javier,2010
0.0065891314,0.030055135,0.012554297,0.0,0.07620664,0.031153744,0.0005861337,Santa Cruz,2010
0.008392676,-0.009210828,-0.033843134,0.0,-0.007825924,0.015162159,0.00035905777,Santa Elena,2010
-0.002612527,0.024640793,0.024036786,0.0,0.043607313,0.00718422,0.000648204,Villa Hermosa,2010
0.0091561,-0.011605147,-0.026271459,0.0,-0.00948341,0.032942887,0.0002819829,Altavista,2011
0.008581157,-0.0076029026,0.024742555,0.0,0.019009093,-0.006256296,0.00030396756,Aranjuez,2011
-0.0031645459,-0.0074063716,0.029852651,0.0,-0.0061091892,-0.033153843,0.0004286536,Belen,2011
-0.001144018,-0.016898254,-0.009762999,0.0,-0.032576837,0.0057650856,0.00051043666,Belén,2011
-0.0045939926,-0.010588217,0.006349168,0.0,-0.026500825,-0.008189502,0.0005791023,Buenos Aires,2011
-0.012118566,-0.009834179,0.0063693468,0.0,-0.016974496,0.0011605186,0.00069964794,Castilla,2011
0.0047265887,0.060298204,0.0044069528,0.0,0.09553206,-0.001689062,0.0007945505,Corregimiento de Altavista,2011
-0.002787764,-0.005152842,-0.00060983154,0.0,-0.011527681,0.0009426717,0.0003366678,Corregimiento de San Antonio de Prado,2011
-0.0008195421,0.020826207,-0.0016812633,0.0,0.056199197,-0.0059068725,0.0009761103,Corregimiento de San Cristóbal,2011
0.010508919,0.045159783,0.006202046,0.0,0.101972565,-0.0017118753,0.0007141442,Corregimiento de San Sebastián de Palmitas,2011
-0.006531819,0.06631531,-0.0022744928,0.0,0.014838785,-0.005325815,0.0006316452,Corregimiento de Santa Elena,2011
0.002532287,-0.0068523744,0.040292833,0.0,0.022177095,0.015178741,0.00030018334,Doce de Octubre,2011
-0.0063047856,-0.021572072,-0.020331284,0.0,-0.058895443,-0.059019033,0.0010363533,El Poblado,2011
-0.013578717,-0.016167684,-0.015163642,0.0,-0.025732137,-0.01816137,0.0005479815,Guayabal,2011
-0.0028589917,-0.00882089,-0.024706073,0.0,-0.010019824,-0.035107054,0.00041562036,La America,2011
-0.022197079,-0.01714759,-0.011148166,0.0,-0.03558719,0.004234039,0.00042681847,La América,2011
0.008227439,-0.017144829,-0.02368709,0.0,-0.034858555,-0.028334757,0.0006256568,La Candelaria,2011
-0.006874974,-0.021445645,-0.024056606,0.0,-0.056182213,-0.05507501,0.0011392145,Laureles Estadio,2011
0.006628327,0.03955491,0.023954825,0.0,0.04253836,0.034463607,0.00061217445,Manrique,2011
-0.001869241,-0.012277584,-0.037260078,0.0,-0.009934831,0.036997117,0.001191218,Palmitas,2011
0.019452132,0.03778342,0.021715268,0.0,0.053591564,0.04996652,0.0013743,Popular,2011
-0.00216689,0.006615585,0.028590973,0.0,-0.012046598,0.0107318545,0.00048307175,Robledo,2011
0.008515503,-0.008921255,0.00019821126,0.0,-0.0071452577,0.0021847084,0.00037741972,San Antonio de Prado,2011
-0.0011896119,-0.008148767,-0.013452571,0.0,-0.0064497693,0.023418304,0.00035978958,San Cristobal,2011
0.0011737709,0.0062972424,0.01935058,0.0,0.015939796,0.0029305585,0.000681822,San Javier,2011
0.006489469,0.03244182,0.006827653,0.0,0.03987933,0.03998439,0.00056272984,Santa Cruz,2011
0.008404309,-0.009224018,-0.033843134,0.0,-0.007825924,0.015162159,0.0005365385,Santa Elena,2011
0.0090910755,0.031337682,0.019707734,0.0,0.041212905,0.005811243,0.0008306624,Villa Hermosa,2011
0.009156233,-0.0116032865,-0.026271459,0.0,-0.009481494,0.03297415,0.00024681148,Altavista,2012
0.008695433,0.010328311,0.019829761,0.0,0.04553005,-0.004491691,0.00065510336,Aranjuez,2012
-0.003155603,-0.0076499586,0.0309068,0.0,-0.006270671,-0.033362936,0.00015114092,Belen,2012
-0.0032311697,-0.016876685,-0.010909051,0.0,-0.032580793,0.0057963473,0.000501455,Belén,2012
-0.0063588494,-0.010564379,0.006267094,0.0,-0.027003882,-0.008173035,0.00052884576,Buenos Aires,2012
-0.012626998,-0.009370988,0.005991221,0.0,-0.011269475,0.0010065984,0.00032316244,Castilla,2012
0.0054605836,0.020920193,0.0030712944,0.0,0.06626531,-0.0057445974,0.0007987632,Corregimiento de Altavista,2012
-0.0029676422,-0.0051967325,-0.00038540532,0.0,-0.0075733094,0.0007679309,0.00030742717,Corregimiento de San Antonio de Prado,2012
0.0025788215,-0.0066910842,-0.00087379786,0.0,0.03867305,-0.0043425453,0.00078534125,Corregimiento de San Cristóbal,2012
0.0028879833,0.04443548,0.0037929704,0.0,0.08577575,-0.0025942677,0.00075636466,Corregimiento de San Sebastián de Palmitas,2012
0.008595435,0.07551545,0.008096447,0.0,0.10395366,-0.0011298017,0.00085125095,Corregimiento de Santa Elena,2012
0.0026269886,-0.008296332,0.037519798,0.0,0.016523292,0.014542133,0.00024709367,Doce de Octubre,2012
-0.010198217,-0.021397376,-0.0215567,0.0,-0.06061501,-0.059421513,0.00060842,El Poblado,2012
-0.013607285,-0.010170464,-0.016928328,0.0,-0.028903423,-0.020329008,0.00046122455,Guayabal,2012
-0.0031502561,-0.00881903,-0.027221438,0.0,-0.009943534,-0.035627767,0.00015258953,La America,2012
-0.02456001,-0.017416405,-0.012874335,0.0,-0.048075102,0.004123276,0.000255719,La América,2012
0.0039221137,-0.017128088,-0.025173279,0.0,-0.035143245,-0.028810522,0.00035118946,La Candelaria,2012
-0.003269163,-0.021218272,-0.024392499,0.0,-0.053893268,-0.05604834,0.00021919217,Laureles Estadio,2012
0.0081539815,0.030641519,0.023949321,0.0,0.050617404,0.033872195,0.0006602708,Manrique,2012
-0.0018691085,-0.012275723,-0.037260078,0.0,-0.009932916,0.03702838,0.0011560465,Palmitas,2012
0.018375508,0.038095657,0.023127757,0.0,0.063201845,0.049240574,0.0013412946,Popular,2012
0.004149917,-0.0075812284,0.025956918,0.0,0.01586113,0.0010382341,0.00042917434,Robledo,2012
0.008986405,-0.008934287,0.0015223355,0.0,-0.0074494267,0.0024175919,0.0003163537,San Antonio de Prado,2012
-0.0011859114,-0.008139898,-0.012547683,0.0,-0.006425594,0.022757495,0.0003246181,San Cristobal,2012
0.00215685,-0.008353091,0.02388565,0.0,0.028473087,0.004552073,0.0008448321,San Javier,2012
0.008642741,0.027840257,0.0064915596,0.0,0.05349102,0.033161122,0.0004522677,Santa Cruz,2012
0.008404441,-0.009222157,-0.03269328,0.0,-0.007774866,0.015801178,0.00050136703,Santa Elena,2012
0.0072598103,0.019149618,0.01855998,0.0,0.04178073,0.0068506273,0.00087998173,Villa Hermosa,2012
0.008525535,-0.0115712555,-0.03087469,0.0,-0.009554902,0.033249274,-0.0004018464,Altavista,2013
0.010053454,0.006496869,0.0015212182,0.0,0.019693006,-0.0082708625,-0.00022558482,Aranjuez,2013
-0.0035758473,-0.009113522,0.0048165093,0.0,-0.008727775,-0.03061092,-0.00060399086,Belen,2013
-0.0049142293,-0.016827859,-0.011544603,0.0,-0.03241757,0.005338915,-9.988664e-05,Belén,2013
-0.0052394625,-0.010221833,-0.013091915,0.0,-0.03172233,-0.003177923,-2.3329101e-05,Buenos Aires,2013
-0.016707564,-0.010668031,-0.012005179,0.0,-0.031223359,0.00760514,3.4403227e-05,Castilla,2013
0.002696248,0.010654267,-0.0026277285,0.0,0.0649638,-0.0022220388,0.000122977,Corregimiento de Altavista,2013
-0.003793228,0.0089784665,0.0004121794,0.0,-0.014945413,-0.0018301831,-0.00026467897,Corregimiento de San Antonio de Prado,2013
0.0025526688,-0.01088942,6.179564e-05,0.0,0.031176293,-0.00449438,0.00018865387,Corregimiento de San Cristóbal,2013
0.0061082058,0.047688123,0.0044131577,0.0,0.09501187,-0.0019850028,2.7811337e-05,Corregimiento de San Sebastián de Palmitas,2013
0.0030497313,0.04795673,0.0058069904,0.0,0.08608647,-0.0024713944,5.8181093e-05,Corregimiento de Santa Elena,2013
0.0025354333,-0.010887599,0.0080335345,0.0,0.026667545,0.013231999,-9.8307755e-05,Doce de Octubre,2013
-0.011058943,-0.021379681,-0.029183367,0.0,-0.058064584,-0.059994143,-0.0003893602,El Poblado,2013
