scenario,year,comuna,ivc_initial,investment_allocated,wellbeing,ivc_current,infrastructure_capacity,cumulative_investment
focalizado,1,Altavista,0.3704456981468046,7142.857142857143,0.642557839276405,0.3660797309900744,0.6231257304246239,7142.857142857143
focalizado,1,Aranjuez,0.3935666572901884,7142.857142857143,0.6202284341620438,0.3889281931149826,0.6000047712812402,7142.857142857143
focalizado,1,Belen,0.3425722965511132,7142.857142857143,0.669472666089379,0.3385348373417608,0.6509991320203153,7142.857142857143
focalizado,1,Belén,0.2777864067363451,7142.857142857143,0.7323800617897199,0.2745124955140953,0.7157850218350834,7142.857142857143
focalizado,1,Buenos Aires,0.3766545977648581,7142.857142857143,0.6365778752515232,0.37221545429120084,0.6169168308065704,7142.857142857143
focalizado,1,Castilla,0.3330419610184535,7142.857142857143,0.6778518534920644,0.329116823620736,0.660529467552975,7142.857142857143
focalizado,1,Corregimiento de Altavista,0.3291826223582815,7142.857142857143,0.6826497265924549,0.32530297002334463,0.6643888062131471,7142.857142857143
focalizado,1,Corregimiento de San Antonio de Prado,0.3217874663141616,7142.857142857143,0.6894379376888072,0.317994971175459,0.671783962257267,7142.857142857143
focalizado,1,Corregimiento de San Cristóbal,0.3158506949794417,7142.857142857143,0.6951957380115146,0.31212816893146966,0.6777207335919868,7142.857142857143
focalizado,1,Corregimiento de San Sebastián de Palmitas,0.4373439708907143,160000.0,0.9110394419608818,0.3218851625755657,1.0,160000.0
focalizado,1,Corregimiento de Santa Elena,0.3512606746087753,7142.857142857143,0.6613031511884246,0.347120816658029,0.6423107539626532,7142.857142857143
focalizado,1,Doce de Octubre,0.3969320392133851,7142.857142857143,0.6179188350034348,0.3922539116083702,0.5966393893580435,7142.857142857143
focalizado,1,Doce de octubre,0.3258947816816185,7142.857142857143,0.686006238218762,0.3220538788975137,0.6676766468898101,7142.857142857143
focalizado,1,El Poblado,0.2290505523626347,7142.857142857143,0.7790927682614963,0.22635102799550363,0.7645208762087938,7142.857142857143
focalizado,1,Guayabal,0.2939582131169325,7142.857142857143,0.7160516213076633,0.2904937056051972,0.6996132154544961,7142.857142857143
focalizado,1,La America,0.3362821805600953,7142.857142857143,0.6750045809226789,0.332318854860637,0.6572892480113333,7142.857142857143
focalizado,1,La América,0.2453972583784103,7142.857142857143,0.7633861575112808,0.24250507640466476,0.7481741701930182,7142.857142857143
focalizado,1,La Candelaria,0.3284815219046906,7142.857142857143,0.6838940018469493,0.3246101325393853,0.665089906666738,7142.857142857143
focalizado,1,Laureles Estadio,0.2609715834417142,7142.857142857143,0.7482748449463262,0.2578958469225797,0.7325998451297143,7142.857142857143
focalizado,1,Laureles—Estadio,0.2896941836113199,7142.857142857143,0.7204941228317413,0.2862799307330436,0.7038772449601087,7142.857142857143
focalizado,1,Manrique,0.4831936683707025,160000.0,0.9096709727253309,0.35563053992083704,1.0,160000.0
focalizado,1,Palmitas,0.3551841902621477,7142.857142857143,0.6564614051317894,0.35099809087691525,0.6383872383092808,7142.857142857143
focalizado,1,Poblado,0.2866218429148159,7142.857142857143,0.7233540535933524,0.28324379976617703,0.7069495856566126,7142.857142857143
focalizado,1,Popular,0.4731515803261334,160000.0,0.9107722972584467,0.3482395631200342,1.0,160000.0
focalizado,1,Robledo,0.3809290833111641,7142.857142857143,0.633127655849773,0.3764395619721397,0.6126423452602645,7142.857142857143
focalizado,1,San Antonio de Prado,0.3628186620871079,7142.857142857143,0.6498552265250215,0.3585425849982241,0.6307527664843207,7142.857142857143
focalizado,1,San Cristobal,0.3782238267928748,7142.857142857143,0.6354008989568114,0.3737661888342445,0.6153476017785537,7142.857142857143
focalizado,1,San Cristóbal,0.3277794658184306,7142.857142857143,0.6839537111499917,0.3239163506855705,0.665791962752998,7142.857142857143
focalizado,1,San Javier,0.3989501853562258,7142.857142857143,0.6157073182172408,0.39424827245738453,0.5946212432152027,7142.857142857143
focalizado,1,San Sebastián De Palmitas,0.3321310073097495,7142.857142857143,0.6789585564143737,0.3282166061521703,0.6614404212616791,7142.857142857143
focalizado,1,Santa Cruz,0.5004827836013235,160000.0,0.9071618085728064,0.3683553287305741,0.9975172163986765,160000.0
focalizado,1,Santa Elena,0.3728140632950581,7142.857142857143,0.6393693836639985,0.36842018326336634,0.6207573652763705,7142.857142857143
focalizado,1,Villa Hermosa,0.4750997471107077,160000.0,0.8518877304623875,0.34967341387348083,1.0,160000.0
focalizado,2,Altavista,0.3704456981468046,7142.857142857143,0.6548124745129202,0.36176521987483423,0.6166971589960525,14285.714285714286
focalizado,2,Aranjuez,0.3935666572901884,160000.0,0.9072346891393914,0.2862511501326272,1.0,167142.85714285713
focalizado,2,Belen,0.3425722965511132,7142.857142857143,0.6816710442013239,0.33454496247309007,0.6445705605917439,14285.714285714286
focalizado,2,Belén,0.2777864067363451,7142.857142857143,0.7421566115532611,0.27127716967410775,0.709356450406512,14285.714285714286
focalizado,2,Buenos Aires,0.3766545977648581,7142.857142857143,0.6486442140455198,0.3678286292941974,0.610488259377999,14285.714285714286
focalizado,2,Castilla,0.3330419610184535,7142.857142857143,0.689724673945085,0.3252379467709202,0.6541008961244036,14285.714285714286
focalizado,2,Corregimiento de Altavista,0.3291826223582815,7142.857142857143,0.6933080597470783,0.3214690421623552,0.6579602347845757,14285.714285714286
focalizado,2,Corregimiento de San Antonio de Prado,0.3217874663141616,7142.857142857143,0.7003711744881814,0.3142471733008911,0.6653553908286955,14285.714285714286
focalizado,2,Corregimiento de San Cristóbal,0.3158506949794417,7142.857142857143,0.7058143778356263,0.3084495155119202,0.6712921621634154,14285.714285714286
focalizado,2,Corregimiento de San Sebastián de Palmitas,0.4373439708907143,7142.857142857143,0.914202827880527,0.3180915160166394,0.9935714285714285,167142.85714285713
focalizado,2,Corregimiento de Santa Elena,0.3512606746087753,7142.857142857143,0.6737686769922128,0.3430297498902737,0.6358821825340818,14285.714285714286
focalizado,2,Doce de Octubre,0.3969320392133851,160000.0,0.9301865827241742,0.28869887894376045,1.0,167142.85714285713
focalizado,2,Doce de octubre,0.3258947816816185,7142.857142857143,0.6973023803709091,0.31825824389622154,0.6612480754612386,14285.714285714286
focalizado,2,El Poblado,0.2290505523626347,7142.857142857143,0.7871572426206603,0.2236833194512709,0.7580923047802224,14285.714285714286
focalizado,2,Guayabal,0.2939582131169325,7142.857142857143,0.7263314182112939,0.287070029789136,0.6931846440259246,14285.714285714286
focalizado,2,La America,0.3362821805600953,7142.857142857143,0.6861352587222267,0.32840223978549377,0.6508606765827618,14285.714285714286
focalizado,2,La América,0.2453972583784103,7142.857142857143,0.7714520709926885,0.23964698086132408,0.7417455987644468,14285.714285714286
focalizado,2,La Candelaria,0.3284815219046906,7142.857142857143,0.6948079742950535,0.32078437026302825,0.6586613352381665,14285.714285714286
focalizado,2,Laureles Estadio,0.2609715834417142,7142.857142857143,0.7573973345097,0.2548563601552779,0.7261712737011429,14285.714285714286
focalizado,2,Laureles—Estadio,0.2896941836113199,7142.857142857143,0.7302530633381469,0.28290591726368985,0.6974486735315373,14285.714285714286
focalizado,2,Manrique,0.4831936683707025,7142.857142857143,0.913237742873258,0.3514391799860557,0.9935714285714285,167142.85714285713
focalizado,2,Palmitas,0.3551841902621477,7142.857142857143,0.6681103696956271,0.34686132766300876,0.6319586668807093,14285.714285714286
focalizado,2,Poblado,0.2866218429148159,7142.857142857143,0.732598036677667,0.2799055692689328,0.7005210142280411,14285.714285714286
focalizado,2,Popular,0.4731515803261334,7142.857142857143,0.9140483543109856,0.3441353111261195,0.9935714285714285,167142.85714285713
focalizado,2,Robledo,0.3809290833111641,160000.0,0.9443473948698959,0.2770595176114948,1.0,167142.85714285713
focalizado,2,San Antonio de Prado,0.3628186620871079,7142.857142857143,0.6625483720803065,0.3543169045321736,0.6243241950557492,14285.714285714286
focalizado,2,San Cristobal,0.3782238267928748,160000.0,0.9362310218008711,0.27509191498200397,1.0,167142.85714285713
focalizado,2,San Cristóbal,0.3277794658184306,7142.857142857143,0.6959251390885689,0.32009876512391916,0.6593633913244266,14285.714285714286
