Comuna,Año,idx_desempleo,idx_habitat,idx_educacion,idx_riesgo_clima,idx_pobreza,idx_tejido_social,ivc
Altavista,2007,0.5021345482264159,0.05783383246990289,0.0495575418062696,0.5,0.3065630291103889,0.5634281668369421,0.31445765789998537
Altavista,2008,0.5021345482264159,0.05783383246990289,0.09048361240663728,0.5,0.3065630291103889,0.5634281668369421,0.32189876164550674
Altavista,2009,0.5021345482264159,0.05783383246990289,0.12281328926450445,0.5,0.3065630291103889,0.5634281668369421,0.3277768847105735
Altavista,2010,0.5021345482264159,0.05783383246990289,0.12936556952029235,0.5,0.3065630291103889,0.5634281668369421,0.32896820839344404
Altavista,2011,0.5021345482264159,0.05783383246990289,0.13163161108332624,0.5,0.3065630291103889,0.5634281668369421,0.32938021595035927
Altavista,2012,0.5021345482264159,0.05783383246990289,0.13338439673069497,0.5,0.3065630291103889,0.5634281668369421,0.32969890424988085
Altavista,2013,0.5021345482264159,0.05783383246990289,0.09504049391289886,0.5,0.3065630291103889,0.5634281668369421,0.3227272855557361
Altavista,2014,0.5021345482264159,0.05783383246990289,0.0948290211853131,0.5,0.3065630291103889,0.4942925440186837,0.310118722729219
Altavista,2015,0.5021345482264159,0.05783383246990289,0.10444074359288129,0.5,0.3065630291103889,0.32678756006661774,0.28141085699385576
Altavista,2016,0.5021345482264159,0.05783383246990289,0.09271390394268016,0.5,0.3065630291103889,0.3586122698704676,0.2850650152036101
Altavista,2017,0.5021345482264159,0.05783383246990289,0.09857851618937408,0.5,0.3065630291103889,0.369666918488148,0.28814124445167816
Altavista,2018,0.5021345482264159,0.05783383246990289,0.10254760216700298,0.5,0.3065630291103889,0.5163498429733275,0.31553251908127966
Altavista,2019,0.5021345482264159,0.05783383246990289,0.11002261705549499,0.5,0.3065630291103889,0.3413053879446865,0.28506534814670714
Altavista,2020,0.5021345482264159,0.05783383246990289,0.11002261705549499,0.5,0.3065630291103889,0.3413053879446865,0.28506534814670714
Altavista,2021,0.43944382169119645,0.05783383246990289,0.4799997786424773,0.5,0.3065630291103889,0.6650373799529794,0.3997959712485354
Altavista,2022,0.5191217511944115,0.05783383246990289,0.4799997786424773,0.5,0.3065630291103889,0.5565210304126265,0.39455262215087394
Altavista,2023,0.5564700164521518,0.05783383246990289,0.4799997786424773,0.5,0.3065630291103889,0.3819328668199212,0.36959991336269854
Altavista,2024,0.47302293011988605,0.05783383246990289,0.4799997786424773,0.5,0.3065630291103889,0.4700317694647707,0.37044569814680467
Aranjuez,2007,0.4720897605810764,0.10422648938337878,0.5805620757898141,0.5,0.6586041528529448,0.3794667949842959,0.44453623156209265
Aranjuez,2008,0.4720897605810764,0.10422648938337878,0.5495606636028606,0.5,0.6586041528529448,0.3794667949842959,0.4388996111644649
Aranjuez,2009,0.4720897605810764,0.10422648938337878,0.486644907829999,0.5,0.6586041528529448,0.3794667949842959,0.4274603828421263
Aranjuez,2010,0.4720897605810764,0.10422648938337878,0.49373106610937684,0.5,0.6586041528529448,0.3794667949842959,0.4287487752565587
Aranjuez,2011,0.5213585289679601,0.05944204368828938,0.4569676614986363,0.5,0.3576667368829153,0.3794667949842959,0.3681639574585631
Aranjuez,2012,0.546773018317793,0.08950535245801365,0.44788691186036855,0.5,0.5614240150059335,0.3794667949842959,0.4136465622957099
Aranjuez,2013,0.5377042267050662,0.09506351520780333,0.32101166814155896,0.5,0.4027529859643763,0.3794667949842959,0.3610907620005638
Aranjuez,2014,0.5352398956038232,0.08945512897015082,0.3053734127562847,0.5,0.38813653607549586,0.459507121288185,0.368674926307989
Aranjuez,2015,0.5471113674138426,0.03630441947944262,0.32100402222486796,0.5,0.3643095290621941,0.33544740318380273,0.3371230438843909
Aranjuez,2016,0.4660464786890436,0.08092365064010702,0.2956075380512701,0.5,0.357212722613311,0.4144419106355001,0.338951327387133
Aranjuez,2017,0.513336612367274,0.058183921732087106,0.2921506363719755,0.5,0.44406931132749294,0.39517423102347427,0.355075402331328
Aranjuez,2018,0.49118748877984436,0.10932387338076596,0.29785871346157455,0.5,0.3036425030952628,0.4211226385819856,0.3405700395089879
Aranjuez,2019,0.5312404941932015,0.06936192342276658,0.29247875220955505,0.5,0.3133579087591804,0.3925585748186897,0.3361813915278897
Aranjuez,2020,0.5204059012568162,0.06936192342276658,0.29247875220955505,0.5,0.3133579087591804,0.3925585748186897,0.33421146553945597
Aranjuez,2021,0.5999574573655058,0.0470824848299632,0.4750203558698708,0.5,0.25371062295373276,0.6472928866809158,0.41328432867272513
Aranjuez,2022,0.4869074158579896,0.0754531494189089,0.4695627772274185,0.5,0.20360807706951123,0.5917850762248472,0.37769390832703187
Aranjuez,2023,0.4734346253082654,0.08844726438283462,0.48179581655712717,0.5,0.29865596475810197,0.5317500076407145,0.3861970324812807
Aranjuez,2024,0.48929661822794723,0.08844726438283462,0.48179581655712717,0.5,0.2941749291595064,0.5609019867686209,0.3935666572901884
Belen,2007,0.4483148485181444,0.05783383246990289,0.5216299409014854,0.5,0.3065630291103889,0.1771111458195883,0.32026414487627447
Belen,2008,0.4483148485181444,0.05783383246990289,0.5059660026677102,0.5,0.3065630291103889,0.1771111458195883,0.3174161561064972
Belen,2009,0.4483148485181444,0.05783383246990289,0.49024609284093285,0.5,0.3065630291103889,0.1771111458195883,0.3145579906834468
Belen,2010,0.4483148485181444,0.05783383246990289,0.48253869387196735,0.5,0.3065630291103889,0.1771111458195883,0.3131566454163622
Belen,2011,0.4483148485181444,0.05783383246990289,0.47693226731171695,0.5,0.3065630291103889,0.1771111458195883,0.3121372951326803
Belen,2012,0.4483148485181444,0.05783383246990289,0.4690961899475751,0.5,0.3065630291103889,0.1771111458195883,0.3107125537937454
Belen,2013,0.4483148485181444,0.05783383246990289,0.3138653791139147,0.5,0.3065630291103889,0.1771111458195883,0.2824887700058071
Belen,2014,0.4483148485181444,0.05783383246990289,0.2942844640840681,0.5,0.3065630291103889,0.21392399620968858,0.2856218491622169
Belen,2015,0.4483148485181444,0.05783383246990289,0.311475628796389,0.5,0.3065630291103889,0.13281711999133103,0.27400081070657384
Belen,2016,0.4483148485181444,0.05783383246990289,0.2754870082978943,0.5,0.3065630291103889,0.23583879925024134,0.28618863957210394
Belen,2017,0.4483148485181444,0.05783383246990289,0.29961428122104344,0.5,0.3065630291103889,0.21571164464755818,0.2869159338121887
Belen,2018,0.4483148485181444,0.05783383246990289,0.284099060109475,0.5,0.3065630291103889,0.2573696845734127,0.2916691735966043
Belen,2019,0.4483148485181444,0.05783383246990289,0.27722418416996164,0.5,0.3065630291103889,0.21344313044556346,0.282432549947993
Belen,2021,0.4483148485181444,0.05783383246990289,0.5017161322723406,0.5,0.3065630291103889,0.4574306533337115,0.3676106355826342
